provinsi,tahun,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ff_avg,KP,JP,JK,IR,M,CFR
Aceh,2019,22.222539857064323,31.806597031335897,26.926113249037932,82.63111599780099,5.108136338647609,5.29824079164376,4.768554150632215,2.02913688840022,93.0,5371532,2386,44.42,6,0.25
Aceh,2020,22.585217391304347,31.211014492753623,26.647188405797102,82.92579710144928,6.9714782608695645,4.980985507246377,4.948985507246377,2.2284057971014493,91.0,5459891,891,0.0,1,0.11
Bali,2019,21.755720164609055,18.356378600823046,7.97119341563786,23.211522633744856,3.2213991769547325,7.88798353909465,5.146502057613168,2.876543209876543,750.0,4336923,4979,114.8,5,0.1
Bali,2020,22.710835694050992,22.47974504249292,6.780382436260623,19.61543909348442,5.14100566572238,6.774362606232295,5.028328611898017,2.83356940509915,747.0,4380824,11964,273.1,23,0.19
Banten,2019,23.398081140350875,32.96798245614035,27.78327850877193,77.97752192982456,3.678892543859649,4.911513157894737,4.359649122807017,1.5975877192982457,1338.0,12927316,2915,22.55,14,0.48
Banten,2020,23.270106132075473,32.029481132075475,27.48891509433962,85.51120283018868,6.328832547169812,4.216332547169811,5.127358490566038,1.9298349056603774,1232.0,13160496,2910,22.1,25,0.86
Bengkulu,2019,21.66474885844749,30.826210045662098,25.906575342465754,84.9269406392694,5.77351598173516,5.76337899543379,5.284931506849315,2.6666666666666665,100.0,1991838,1479,74.25,13,0.88
Bengkulu,2020,21.58555240793201,30.48706326723324,26.079886685552406,84.88007554296506,11.267327667610955,5.211142587346553,4.7743153918791315,2.2974504249291785,101.0,2019848,1276,63.2,10,0.78
DI Yogyakarta,2019,21.644520547945206,31.04808219178082,25.94150684931507,81.64794520547945,5.0154794520547945,6.55958904109589,3.3547945205479452,1.489041095890411,1227.0,3842932,3301,85.9,6,0.18
DI Yogyakarta,2020,22.337664233576643,30.695182481751825,26.264379562043793,83.56204379562044,7.8443795620437955,5.339124087591241,3.3912408759124086,1.4394160583941606,1171.0,3882288,3618,93.2,13,0.36
DKI Jakarta,2019,24.52712328767123,31.87315068493151,28.781232876712327,74.52739726027397,4.163287671232877,5.691780821917808,5.00958904109589,1.7931506849315069,15900.0,10557810,8705,82.45,0,0.0
DKI Jakarta,2020,24.93399433427762,31.31983002832861,28.576770538243625,77.01699716713881,7.438385269121813,5.00056657223796,5.215297450424929,1.9915014164305949,15907.0,10644986,4745,44.6,1,0.02
Gorontalo,2019,21.131780821917808,32.512054794520544,10.75027397260274,31.075342465753426,2.6810958904109587,6.183972602739726,4.052054794520548,1.2808219178082192,107.0,1202631,1221,101.53,23,1.88
Gorontalo,2020,21.431905465288036,27.99246676514033,10.830576070901035,33.40177252584934,5.063220088626292,5.294387001477105,3.6322008862629245,1.0635155096011817,104.0,1219576,951,78.0,7,0.74
Jambi,2019,20.94721461187215,30.691689497716897,25.745570776255708,82.6310502283105,5.097351598173517,4.866849315068493,4.174429223744292,1.3881278538812785,72.0,3624579,2158,59.54,16,0.74
Jambi,2020,21.59875717017208,30.224665391969406,25.329923518164435,81.51242829827916,5.385564053537285,4.374760994263863,4.142447418738049,1.3747609942638623,71.0,3677894,2049,55.7,14,0.68
Jawa Barat,2019,20.738818332413032,30.596797349530647,24.962506902263943,75.29817780231916,6.474378796245168,4.667531750414136,4.21038100496963,1.5842076200993926,1394.0,49316712,23483,47.62,97,0.41
Jawa Barat,2020,20.822425629290617,29.84673913043478,24.653432494279176,80.1104118993135,9.03758581235698,3.7497139588100685,3.9897025171624714,1.5062929061784898,1365.0,49935858,22613,45.3,168,0.74
Jawa Tengah,2019,22.342178770949722,30.777932960893853,22.62891061452514,60.99441340782123,3.7865456238361266,6.373370577281192,4.8361266294227185,2.0414338919925514,1058.0,34718204,9124,26.28,123,1.35
Jawa Tengah,2020,23.396898854961833,30.6143606870229,23.037881679389315,64.92175572519083,7.973234732824428,5.439885496183206,4.9231870229007635,2.0443702290076335,1113.0,34940078,5683,16.3,107,1.88
Jawa Timur,2019,22.535286783042395,31.153815461346635,26.671296758104738,76.51296758104738,4.593840399002493,6.830498753117207,4.7296758104738155,1.9194513715710724,831.0,39698631,18397,46.34,186,1.01
Jawa Timur,2020,22.752126556016595,30.99136410788382,26.86374481327801,80.06664937759336,6.741467842323651,6.138926348547718,4.683869294605809,1.820539419087137,851.0,39886288,8567,21.5,73,0.85
Kalimantan Barat,2019,22.652093342484555,32.42690459849005,27.145813315030882,83.67055593685656,8.55662319835278,4.584420041180508,3.86238846945779,1.2608098833218944,34.0,5069127,2798,55.2,21,0.75
Kalimantan Barat,2020,23.36723184666421,31.597899004791746,26.50427570954663,83.472908219683,10.784666420936233,4.4645779579800955,3.8462956137117583,1.1901953556948028,37.0,5134760,784,15.3,4,0.51
Kalimantan Selatan,2019,22.317915904936015,31.902376599634366,17.25685557586837,51.389396709323584,5.491407678244973,5.444515539305302,4.393053016453382,1.8564899451553931,110.0,4244096,2381,56.1,15,0.63
Kalimantan Selatan,2020,23.208316430020286,29.647261663286006,13.072413793103449,39.78498985801217,9.258215010141988,4.358012170385395,4.225152129817444,1.6987829614604462,105.0,4303979,1768,41.1,20,1.13
Kalimantan Tengah,2019,22.495671232876713,32.3332602739726,25.971013698630138,79.9654794520548,6.458904109589041,4.875232876712328,3.8438356164383563,1.143013698630137,18.0,2714859,1616,59.52,24,1.49
Kalimantan Tengah,2020,22.788577955454027,31.691947458595088,26.651342090234152,83.6967447173044,9.188463735008567,4.970131353512279,3.803540833809252,1.1770416904625929,17.0,2769156,669,24.2,5,0.75
Kalimantan Timur,2019,22.482417582417582,31.847344322344323,26.55054945054945,80.64010989010988,5.421428571428571,4.703479853479854,4.13919413919414,1.8131868131868132,29.0,3721389,6723,180.66,44,0.65
Kalimantan Timur,2020,22.807000946073792,31.645127719962158,25.93841059602649,81.52412488174078,8.034531693472092,4.191390728476821,4.008514664143803,1.6783349101229896,29.0,3793152,2299,60.6,18,0.78
Kalimantan Utara,2019,22.13050847457627,23.453742937853107,24.50805084745763,76.31920903954803,8.118008474576271,5.466242937853107,4.568502824858757,1.5925141242937852,10.0,742245,1774,239.0,15,0.85
Kalimantan Utara,2020,22.623706896551724,23.714367816091954,24.88728448275862,79.2794540229885,7.561494252873564,5.00330459770115,4.333333333333333,1.4410919540229885,9.0,768505,515,67.0,8,1.55
Kep. Bangka Belitung,2019,23.17037037037037,31.600658436213994,26.924279835390948,85.28477366255144,6.9167901234567895,4.791522633744856,5.025514403292181,2.107818930041152,91.0,1488792,1012,67.97,10,0.99
Kep. Bangka Belitung,2020,23.115704824976348,31.02554399243141,26.782213812677387,86.99337748344371,8.144465468306528,4.417786187322611,5.350047303689688,2.2119205298013247,89.0,1517590,1144,75.4,9,0.79
Kep. Riau,2019,23.994467306812986,30.882030178326474,27.721216278006402,83.30544124371285,5.147233653406493,5.475491540923639,4.846364883401921,2.085048010973937,267.0,2189653,1865,85.17,11,0.59
Kep. Riau,2020,23.430019029495718,30.674928639391055,27.319219790675547,83.92626070409135,7.007706945765937,4.956803044719315,4.871075166508088,2.1902949571836348,252.0,2242198,1753,78.2,9,0.51
Lampung,2019,20.88356263577118,21.611803041274438,25.985372918175237,74.60680666183924,4.38059377262853,5.828167994207096,3.9746560463432297,1.6451846488052135,244.0,8447737,5611,66.42,17,0.3
Lampung,2020,22.141473988439305,22.60722543352601,25.873265895953757,79.53323699421965,7.7479046242774565,4.736054913294797,3.8236994219653178,1.3576589595375723,260.0,8521201,6372,74.8,26,0.41
Maluku,2019,21.677497900923594,23.842695214105795,23.052225020990765,72.45675902602855,5.1803946263644,5.589336691855583,4.795969773299748,2.1326616288832914,38.0,1802870,236,13.09,5,2.12
Maluku,2020,21.12212121212121,22.48077441077441,21.087407407407408,66.196632996633,8.272626262626263,5.167205387205387,5.119191919191919,2.3457912457912458,39.0,1831880,77,4.2,5,6.49
