38 Provinsi,
,Kepadatan Penduduk menurut Provinsi (jiwa/km2)
,2020
ACEH,91
SUMATERA UTARA,203
SUMATERA BARAT,132
RIAU,73
JAMBI,71
SUMATERA SELATAN,92
BENGKULU,101
LAMPUNG,260
KEP. BANGKA BELITUNG,89
KEP. RIAU,252
DKI JAKARTA,15907
JAWA BARAT,1365
JAWA TENGAH,1113
DI YOGYAKARTA,1171
JAWA TIMUR,851
BANTEN,1232
BALI,747
NUSA TENGGARA BARAT,286
NUSA TENGGARA TIMUR,109
KALIMANTAN BARAT,37
KALIMANTAN TENGAH,17
KALIMANTAN SELATAN,105
KALIMANTAN TIMUR,29
KALIMANTAN UTARA,9
SULAWESI UTARA,189
SULAWESI TENGAH,48
SULAWESI SELATAN,194
SULAWESI TENGGARA,69
GORONTALO,104
SULAWESI BARAT,85
MALUKU,39
MALUKU UTARA,40
PAPUA BARAT,11
PAPUA BARAT DAYA,-
PAPUA,13
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,141
